"year","arrivals","delayed","cancelled","diverted","on_time"
2003,3690470,633148,51219,6863,0.828437028345983
2004,6836534,1367717,117657,13265,0.799939998835667
2005,6807674,1399951,128430,13293,0.79435692719716
2006,6742384,1505652,113864,15262,0.776688482886765
2007,7035522,1696298,149587,16068,0.758895217725138
2008,5778852,1267981,111324,14480,0.780582544768407
2009,5693182,1061953,77281,13559,0.8134693392904
2010,6018866,1086503,102062,14262,0.819483769866284
2011,5487638,988531,104821,12961,0.819862206654302
2012,5401136,870844,67854,10949,0.838766511341318
2013,5487324,1085458,75669,11748,0.802188097513469
2014,4913531,1066389,110303,12290,0.782968907695912
2015,3567308,706680,63824,10275,0.801901041345463
